param_name,layer,kind,numel,slope_increment,incr_at_t1,r2_increment,incr_trend_frac
model.embed_tokens.weight,-1,embed_tokens.weight,388956160,-0.0005914972758774967,7.25192144194367,0.12261941589895028,-8.156421447926809e-05
model.layers.0.self_attn.qkv_proj.weight,0,self_attn.qkv_proj.weight,15728640,-2.3902064205370186e-05,0.28942533906641266,0.11111173941570619,-8.258455974335241e-05
model.layers.0.self_attn.o_proj.weight,0,self_attn.o_proj.weight,10485760,-1.6578267827033883e-05,0.19801716571435654,0.12624602385046235,-8.372136712101183e-05
model.layers.0.self_attn.q_norm.weight,0,self_attn.q_norm.weight,128,-1.4511332414875386e-08,7.494824656068374e-06,0.016678764315489203,-0.0019361803752307827
model.layers.0.self_attn.k_norm.weight,0,self_attn.k_norm.weight,128,-2.5484551637548076e-08,1.1079476607446838e-05,0.043606285063786006,-0.0023001584407352934
model.layers.0.mlp.gate_up_proj.weight,0,mlp.gate_up_proj.weight,49807360,-7.34374755208932e-05,0.9188293418908801,0.11056643970027688,-7.992504393662977e-05
model.layers.0.mlp.down_proj.weight,0,mlp.down_proj.weight,24903680,-3.755078522509746e-05,0.4587697493943305,0.11066086666637248,-8.185104897319873e-05
model.layers.0.input_layernorm.weight,0,input_layernorm.weight,2560,1.8787822393654114e-08,4.523800305233701e-05,0.007579179972142497,0.00041531060449149354
model.layers.0.post_attention_layernorm.weight,0,post_attention_layernorm.weight,2560,-2.6990657071256124e-08,1.0214287452982858e-05,0.18122613391961032,-0.0026424415012301318
model.layers.1.self_attn.qkv_proj.weight,1,self_attn.qkv_proj.weight,15728640,-2.3991468697221484e-05,0.29441827960439404,0.12529959231882098,-8.148770086374563e-05
model.layers.1.self_attn.o_proj.weight,1,self_attn.o_proj.weight,10485760,-1.5945906098502538e-05,0.19660772243651078,0.11529495499721691,-8.110518702362692e-05
model.layers.1.self_attn.q_norm.weight,1,self_attn.q_norm.weight,128,-1.480348711699743e-08,8.157236611713299e-06,0.015249244106832016,-0.0018147674049003946
model.layers.1.self_attn.k_norm.weight,1,self_attn.k_norm.weight,128,-1.2254049078162166e-08,6.764378558490751e-06,0.011565539098612418,-0.0018115557803577828
model.layers.1.mlp.gate_up_proj.weight,1,mlp.gate_up_proj.weight,49807360,-0.00011213057319266614,0.9178770520530583,0.2857923411184531,-0.00012216295520392243
model.layers.1.mlp.down_proj.weight,1,mlp.down_proj.weight,24903680,-5.400418331740683e-05,0.47562849563141896,0.2756770706408668,-0.00011354278352417418
model.layers.1.input_layernorm.weight,1,input_layernorm.weight,2560,3.6842271280652454e-10,2.402540713272525e-05,8.168846693834568e-06,1.5334712572037633e-05
model.layers.1.post_attention_layernorm.weight,1,post_attention_layernorm.weight,2560,-3.370157080521757e-07,0.00012381117698315321,0.4029935907897133,-0.0027220136038124646
model.layers.2.self_attn.qkv_proj.weight,2,self_attn.qkv_proj.weight,15728640,-2.370148001021799e-05,0.2915390043404336,0.11316438147992401,-8.129780117703046e-05
model.layers.2.self_attn.o_proj.weight,2,self_attn.o_proj.weight,10485760,-1.5264585557718366e-05,0.19486293182900463,0.10314824105756601,-7.833498867354252e-05
model.layers.2.self_attn.q_norm.weight,2,self_attn.q_norm.weight,128,-1.717901723193797e-08,9.287875992334725e-06,0.016971411322209626,-0.0018496174201847436
model.layers.2.self_attn.k_norm.weight,2,self_attn.k_norm.weight,128,-1.6579005248324918e-08,8.023747133230643e-06,0.019635970445416925,-0.0020662422398211376
model.layers.2.mlp.gate_up_proj.weight,2,mlp.gate_up_proj.weight,49807360,-0.00011333025682754527,0.922497054134167,0.2951383242208805,-0.00012285161922160744
model.layers.2.mlp.down_proj.weight,2,mlp.down_proj.weight,24903680,-5.658198185555589e-05,0.47191888555699646,0.28631332910819496,-0.00011989768493535346
model.layers.2.input_layernorm.weight,2,input_layernorm.weight,2560,-2.61670190814656e-08,2.047633080354992e-05,0.08579267937817653,-0.0012779154298937728
model.layers.2.post_attention_layernorm.weight,2,post_attention_layernorm.weight,2560,-3.506252753735883e-07,0.00013280853595456726,0.4345257893322916,-0.0026400808717109447
model.layers.3.self_attn.qkv_proj.weight,3,self_attn.qkv_proj.weight,15728640,-2.4772287845600057e-05,0.29205264403680903,0.12289509835736045,-8.482130996382237e-05
model.layers.3.self_attn.o_proj.weight,3,self_attn.o_proj.weight,10485760,-1.569735490824186e-05,0.19505820139509122,0.1080113229502212,-8.047523660103273e-05
model.layers.3.self_attn.q_norm.weight,3,self_attn.q_norm.weight,128,-1.73137227199371e-08,9.311338004339052e-06,0.017172582343860824,-0.0018594237167492967
model.layers.3.self_attn.k_norm.weight,3,self_attn.k_norm.weight,128,-1.596153417638292e-08,8.329611659241746e-06,0.017659737646964126,-0.0019162398956106817
model.layers.3.mlp.gate_up_proj.weight,3,mlp.gate_up_proj.weight,49807360,-9.689234582000354e-05,0.9109487002252983,0.20289318494500483,-0.00010636421765137803
model.layers.3.mlp.down_proj.weight,3,mlp.down_proj.weight,24903680,-4.730840669294349e-05,0.4728046675183477,0.2039096220999804,-0.00010005909404671356
model.layers.3.input_layernorm.weight,3,input_layernorm.weight,2560,-1.95596854564403e-08,1.0795251596075942e-05,0.09277813358408754,-0.0018118786099946217
model.layers.3.post_attention_layernorm.weight,3,post_attention_layernorm.weight,2560,-3.529810222481406e-07,0.00012880336774039579,0.4192961636758752,-0.002740464231956859
model.layers.4.self_attn.qkv_proj.weight,4,self_attn.qkv_proj.weight,15728640,-2.3816555790977525e-05,0.2905352804739489,0.11340078984104263,-8.19747458970411e-05
model.layers.4.self_attn.o_proj.weight,4,self_attn.o_proj.weight,10485760,-1.6212260544373474e-05,0.19356126396806628,0.114028557168001,-8.375777369922616e-05
model.layers.4.self_attn.q_norm.weight,4,self_attn.q_norm.weight,128,-1.6419595527888397e-08,8.160227453613378e-06,0.021684875701863327,-0.0020121492472146402
model.layers.4.self_attn.k_norm.weight,4,self_attn.k_norm.weight,128,-2.2151115722733907e-08,1.0186378986376807e-05,0.03370392711394881,-0.0021745819345970396
model.layers.4.mlp.gate_up_proj.weight,4,mlp.gate_up_proj.weight,49807360,-8.198939003661057e-05,0.8876041823932475,0.12216798666517861,-9.237156793869825e-05
model.layers.4.mlp.down_proj.weight,4,mlp.down_proj.weight,24903680,-3.868967667572814e-05,0.4739569874684693,0.13560692842192007,-8.163119797511589e-05
model.layers.4.input_layernorm.weight,4,input_layernorm.weight,2560,-3.903546086116125e-08,1.6544171382879743e-05,0.2858736161236231,-0.0023594690817550384
model.layers.4.post_attention_layernorm.weight,4,post_attention_layernorm.weight,2560,-3.6335088947464204e-07,0.00013157630912937715,0.44587645315136637,-0.002761522130229114
model.layers.5.self_attn.qkv_proj.weight,5,self_attn.qkv_proj.weight,15728640,-2.4124977264387718e-05,0.2913715595781744,0.1199308168961808,-8.27979824088323e-05
model.layers.5.self_attn.o_proj.weight,5,self_attn.o_proj.weight,10485760,-1.5045164865756315e-05,0.195577911231435,0.10178929069687567,-7.692670798571308e-05
model.layers.5.self_attn.q_norm.weight,5,self_attn.q_norm.weight,128,-1.8783382662888192e-08,8.975077081826698e-06,0.03691811399611288,-0.002092838032658457
