param_name,layer,kind,numel,shape_str,slope,r2,intercept,mean_incr,std_incr,delta_T,delta_1,rw_baseline,slope_per_el,d_ratio,excess_slope,grad_frac
model.embed_tokens.weight,-1,embed_tokens.weight,388956160,151936x2560,7.086233893157176,0.9999662164919676,16.74833842738144,7.103455625698419,0.24332244840445033,3551.9130859375,7.288728713989258,7.292928,1.821859279245552e-08,0.9716582822642944,0.0,0.0
model.layers.0.self_attn.qkv_proj.weight,0,self_attn.qkv_proj.weight,15728640,6144x2560,0.2826324141790498,0.9999662514856869,0.7018734622307505,0.2834259209508647,0.010329147661977784,141.72108459472656,0.29155004024505615,0.294912,1.7969284959096893e-08,0.9583618644851677,0.0,0.0
model.layers.0.self_attn.o_proj.weight,0,self_attn.o_proj.weight,10485760,2560x4096,0.19339620790932546,0.9999645700663125,0.4641386509684793,0.19385602048977105,0.006721084377685214,96.93365478515625,0.19950056076049805,0.196608,1.8443699637348697e-08,0.9836639806585971,0.0,0.0
model.layers.0.self_attn.q_norm.weight,0,self_attn.q_norm.weight,128,128,3.99745816867063e-06,0.9135426823346599,0.00026042508393458877,3.852480219934651e-06,1.6185808781446375e-05,0.00192247424274683,8.66129994392395e-08,2.4e-06,3.12301419427393e-08,1.6656075702794293,1.5974581686706301e-06,0.39961848286254137
model.layers.0.self_attn.k_norm.weight,0,self_attn.k_norm.weight,128,128,4.182718313334849e-06,0.8260919784090385,0.0006483480096281411,4.68285414642227e-06,1.7579701760041915e-05,0.0023367442190647125,0.0,2.4e-06,3.2677486822928505e-08,1.7427992972228536,1.7827183133348488e-06,0.42621046405429613
model.layers.0.mlp.gate_up_proj.weight,0,mlp.gate_up_proj.weight,49807360,19456x2560,0.8980105675013174,0.9999679607062975,2.142609296103018,0.9003965355351359,0.031813769273132605,450.222412109375,0.9245408773422241,0.9338879999999999,1.8029676086050682e-08,0.9615827245893699,0.0,0.0
model.layers.0.mlp.down_proj.weight,0,mlp.down_proj.weight,24903680,2560x9728,0.4481198310002295,0.9999670541778826,1.0971164867357004,0.4493445023028311,0.01626039307476048,224.68496704101562,0.4620603919029236,0.46694399999999997,1.7994120989356976e-08,0.9596864527657054,0.0,0.0
model.layers.0.input_layernorm.weight,0,input_layernorm.weight,2560,2560,4.984806148986694e-05,0.9986521624862144,-0.0003687788424845493,4.99537464731442e-05,3.108668314921488e-05,0.024970687925815582,4.376843571662903e-05,4.8e-05,1.947189901947927e-08,1.0385012810388945,1.8480614898669362e-06,0.03707388882599995
model.layers.0.post_attention_layernorm.weight,0,post_attention_layernorm.weight,2560,2560,1.6893955431900527e-06,0.7153156202858475,0.0010527769531050318,3.439632528097572e-06,9.132971343268348e-06,0.0017752228304743767,5.8846198953688145e-05,4.8e-05,6.599201340586143e-10,0.0351957404831261,0.0,0.0
model.layers.1.self_attn.qkv_proj.weight,1,self_attn.qkv_proj.weight,15728640,6144x2560,0.28773308915505574,0.9999665011417112,0.6707751186515196,0.28839642096139145,0.009763174614484687,144.20599365234375,0.2961795926094055,0.294912,1.8293577140493757e-08,0.9756574474930004,0.0,0.0
